t,u1,u2,u3
0.0,2.0,2.0,1.0
0.05,2.3504759004630538,1.6402080424915586,0.5067883408246705
0.1,2.3326709048433285,1.2757761446449414,0.2806759686135351
0.15,2.1061852124806526,0.990813572520013,0.1750330807476697
0.2,1.8203826850426021,0.7845472465516085,0.12221264738312874
0.25,1.5469769409168375,0.6365509746621233,0.09384270319630288
0.3,1.3090449271545068,0.5286093180144495,0.07778497648145193
0.35,1.109206652054856,0.4479688348483759,0.06851898640034122
0.4,0.9433050384204734,0.38621461814168917,0.06335963670544598
0.45,0.8057503866466469,0.33782367184387346,0.06092500401936398
0.5,0.6913260488047723,0.299120036957098,0.060478517237975316
0.55,0.5956576061836222,0.2676061709848148,0.061628324465165016
0.6,0.5152218269135139,0.24154746482007247,0.06418201027840179
0.65,0.44722195714216273,0.2197135013182341,0.06807323919930562
0.7,0.38944391768460335,0.20121426571246426,0.07332380877796427
0.75,0.3401291816311629,0.1853945939711675,0.08002447575367172
0.8,0.297873273814723,0.1717653005255433,0.0883263756094767
0.85,0.26154630055661543,0.15995685039317978,0.0984386460261887
0.9,0.23023171545185367,0.14968747752169556,0.11063060984313179
0.95,0.20318134378425995,0.14074197882725048,0.12523678632709478
1.0,0.17977890868448823,0.13295607982731555,0.14266500061749715
1.05,0.15951454196329554,0.12620634889634869,0.16340610452866985
1.1,0.14196302339168432,0.12040274129164616,0.1880468756110573
1.15,0.12676923630469428,0.11548424434780515,0.21728315078845142
1.2,0.11363463307597747,0.11141621901904437,0.25193766697368514
1.25,0.1023092629199628,0.10818987494456826,0.29297489903711277
1.3,0.0925836304724413,0.10582382173999316,0.34152091033968973
1.35,0.08428408807448592,0.10436746440614522,0.398877982064715
1.4,0.0772689211940665,0.10390796519882856,0.46653802187211246
1.45,0.07142642707227184,0.10458075095005107,0.5461853708728104
1.5,0.06667444034483717,0.1065861875180831,0.6396849269642152
1.55,0.06296189560360536,0.11021530899722004,0.7490385630071307
1.6,0.06027287582809601,0.1158885116218833,0.8762953297750027
1.65,0.058634434300792244,0.12421659552974336,1.0233723478500987
1.7,0.058129922321235004,0.13609319433382677,1.191743512146458
1.75,0.05892131105461871,0.15283930664668546,1.381900253495077
1.8,0.061286316104555816,0.17642166909741822,1.5924577458238482
1.85,0.06567997002063669,0.2097722089624289,1.8187468952756847
1.9,0.07283886604427836,0.25720975762922027,2.05067978389793
1.95,0.0839552421836123,0.3248561249536116,2.2699517426242517
2.0,0.1009675839843148,0.42063813228165997,2.447255437376915
2.05,0.12701881731739229,0.5527985301400199,2.5420881701486993
2.1,0.16708561054557675,0.725142537491911,2.5103523600445015
2.15,0.22853499849427186,0.9283423970284639,2.324601745988867
2.2,0.3206911494898626,1.132525647356573,2.0000353363590175
2.25,0.451547963791434,1.2930057184599115,1.600429267061225
2.3,0.6202734983757306,1.3723267953517493,1.2070628386088178
2.35,0.8090022253901001,1.3605105224187282,0.8771974337055419
2.4,0.9838230516004208,1.275558754851299,0.6295397237226087
2.45,1.110062297664645,1.148631643367381,0.45618440048358394
2.5,1.1700381428063504,1.0086690221498,0.3394784460809978
2.55,1.1674227173212626,0.8748138100752394,0.2622216536572881
2.6,1.118597440031002,0.7562790252171404,0.21125245836302667
2.65,1.0421210160558194,0.6555526578976447,0.17758097214384583
2.7,0.9529269893794781,0.5716589980025203,0.1554035714267851
2.75,0.8610087334774662,0.5023022383168314,0.14106603862812403
2.8,0.7722321994891175,0.4449693413985147,0.1322875849319026
2.85,0.6896194067759988,0.3973894861790906,0.12764997059388727
2.9,0.6144334085654583,0.3576694401080112,0.12627994214986502
2.95,0.5469301555950365,0.324289879673395,0.12765638686018055
3.0,0.48683001683250243,0.2960535729113014,0.13149435950435442
3.05,0.43359761034494465,0.2720245473172518,0.13767525157348157
3.1,0.38660045555044237,0.2514726100630288,0.14620518247533223
3.15,0.3451934013331173,0.23382915264658932,0.1571913834201694
3.2,0.30876346517025555,0.2186506706095673,0.17082861296997695
3.25,0.2767489179733983,0.20559314442953527,0.18739376334414257
3.3,0.24864661819677797,0.19439100991981095,0.2072445488740969
3.35,0.22401226386474882,0.18484317658516475,0.23082154643963854
3.4,0.2024571163883785,0.1768020795552222,0.25865251408628137
3.45,0.1836440916134904,0.17016718799565972,0.291356909273639
3.5,0.16728285517612348,0.16488078704377168,0.3296509875724973
3.55,0.15312627334425763,0.16092689457647488,0.3743504984022689
3.6,0.1409667041326941,0.15833321169543274,0.42636891278086014
3.65,0.1306342639730455,0.15717579326997613,0.48670935472078264
3.7,0.12199551953744836,0.15758758132087625,0.5564450524375134
3.75,0.11495458103039125,0.1597737401116438,0.6366742753021044
3.8,0.1094552720928564,0.16402934755687873,0.7284615247369347
3.85,0.1054874617073279,0.1707736880096897,0.832705039777599
3.9,0.10309517861047307,0.1805871457200594,0.9499781886337145
3.95,0.10239254462817943,0.19427401302613576,1.0802299166615124
4.0,0.10358584940038482,0.21293667627325732,1.2223921064567682
4.05,0.10700786458860059,0.23806934781070813,1.3737987135244338
4.1,0.11317091327457957,0.271657656939258,1.5294159673916476
4.15,0.122841505103241,0.31622825966027485,1.6809554664317623
4.2,0.13714897630086145,0.3747558474943333,1.8160595861639692
4.25,0.15772671261709212,0.45019117666070796,1.9181441014864997
4.3,0.18686462516545688,0.5443495462826217,1.9678236652608645
4.35,0.2275979219522158,0.6559071528476114,1.947117371154782
4.4,0.28352824904896357,0.7779941436771275,1.8464537866531703
4.45,0.35803530281437357,0.8970130924074707,1.6717218511262675
4.5,0.4525260244782254,0.9949350350067548,1.4459360519643225
4.55,0.5639131048069651,1.0554191754080506,1.2020780570834355
4.6,0.6827346563493485,1.070361839216951,0.9709711953976888
4.65,0.7941475118226826,1.0423922269211205,0.7723649747222501
4.7,0.882565766166387,0.9821817208152599,0.6133950402248136
4.75,0.93740678242209,0.9032459955975215,0.4922260992064548
4.8,0.9560844863671671,0.8175659476835297,0.40275216598417174
4.85,0.9429327072480074,0.7335436952730148,0.337981858952197
4.9,0.9059015976110224,0.6559511579476904,0.29173835058352865
4.95,0.853449750252909,0.5868335396536082,0.259191262778256
5.0,0.792750683361286,0.5265474027644673,0.2368069690432801
5.05,0.7291119600251853,0.4745650613189185,0.2220994362807495
5.1,0.666089844511883,0.429987851037344,0.21336385523993193
5.15,0.6058655438749622,0.39183131809715466,0.20945773750721008
5.2,0.5496433652443949,0.35916493193248117,0.2096397254242355
5.25,0.4979795376662976,0.3311693202627604,0.21345689951290844
5.3,0.45102304771355284,0.3071506804588247,0.22066859983434425
5.35,0.40867969128484943,0.28653565113663937,0.23119619360776375
5.4,0.3707208847141535,0.26885848940806656,0.24508963777539
5.45,0.3368526229560878,0.25374644652769873,0.26250614994312704
5.5,0.30675718278536834,0.24090677470800362,0.2836964213047915
5.55,0.2801196660134022,0.23011513867394284,0.30899524055282485
5.6,0.2566421359103324,0.22120762667919253,0.3388147708187
5.65,0.23605241613152897,0.214074480654085,0.37363786921246944
5.7,0.21810862441345263,0.20865716067711623,0.4140096156628658
5.75,0.20260158340988707,0.20494744704955922,0.46052544069446905
5.8,0.1893568984346428,0.20299021026484643,0.5138088573227763
5.85,0.17823629184451542,0.20288761167665142,0.5744860427804565
5.9,0.16914060942894837,0.2048095744324341,0.6431291950441947
5.95,0.1620134102013506,0.20900518371558605,0.7201938186227094
6.0,0.15684644805594758,0.21582021265325027,0.805916695939289
6.05,0.15368984769811792,0.22572200260086822,0.9001538099302324
6.1,0.15266251862175173,0.23932224671878569,1.0022115586311873
6.15,0.1539727690066488,0.2574085692782328,1.110549359540459
6.2,0.1579402668645544,0.28096377878856565,1.2224932694144635
6.25,0.16503047273959773,0.3111614714952125,1.3338577435612835
