epoch,loss,regularization_loss,r1,a1_1,a1_2,a1_3,r2,a2_1,a2_2,a2_3,r3,a3_1,a3_2,a3_3
1.0,1886.435523619782,0.18394025504135128,missing,-2.1279696823573624,-0.9332562782685491,-3.72577954417671,missing,-0.2645932765565514,-2.438942773951496,-0.15581476552231655,missing,-0.4133581488322204,-1.056952093393273,-0.25083762373134694
2.0,1885.8369495204392,0.1838824822891694,missing,-2.127869682357362,-0.9333562782685491,-3.7258795441767103,missing,-0.2644932765565514,-2.438842773951496,-0.15591476552231653,missing,-0.4132581488322204,-1.057052093393273,-0.25073762373134695
3.0,1885.238559222915,0.18382472694814536,missing,-2.1277696844843317,-0.9334562763319819,-3.7259795439450847,missing,-0.26439327827188297,-2.4387427754289543,-0.1560147637208849,missing,-0.41315815602547945,-1.0571520909008012,-0.2506376256890779
4.0,1884.6403450762743,0.18376698705263617,missing,-2.1276696901529557,-0.933556271172261,-3.726079543325732,missing,-0.26429328284148945,-2.438642779365798,-0.15611475892111695,missing,-0.41305817521401295,-1.057252084261287,-0.25053763090932096
5.0,1884.0423251083146,0.1837092640949817,missing,-2.127569700769593,-0.9336562615109648,-3.7261795421602084,missing,-0.26419329139697834,-2.4385427867384477,-0.15621474993268433,missing,-0.4129582111837889,-1.0573520718305296,-0.2504376406925743
6.0,1883.444492891492,0.1836515581503396,missing,-2.1274697177290283,-0.9337562460808599,-3.726279540288032,missing,-0.2640933050599283,-2.438442798515531,-0.1563147355745275,missing,-0.4128582686940957,-1.0574520519784323,-0.25033765633216015
7.0,1882.8468504085017,0.1835938697014415,missing,-2.1273697424129505,-0.9338562236279361,-3.7263795375482065,missing,-0.2639933249398336,-2.4383428156560156,-0.15641471467733908,missing,-0.41275835247329307,-1.0575520230923252,-0.2502376791117386
8.0,1882.2494037028064,0.18353619888392128,missing,-2.1272697761873514,-0.9339561929140302,-3.726479533779724,missing,-0.26389335213178,-2.438242839107187,-0.15651468608602387,missing,-0.4126584672099074,-1.0576519835803493,-0.2501377103027021
9.0,1881.6521555789163,0.18347854523931387,missing,-2.127169820398556,-0.9340561527201892,-3.7265795288209134,missing,-0.2637933877137165,-2.4381428698023657,-0.15661464866217256,missing,-0.41255861753835765,-1.0577519318749629,-0.25003775116136395
10.0,1881.0551059806937,0.1834209082050289,missing,-2.1270698763691076,-0.9341561018500623,-3.7266795225085607,missing,-0.26369343274375256,-2.4380429086586646,-0.15671460128642606,missing,-0.4124588080239954,-1.057851866436312,-0.24993780292621243
11.0,1880.4582551345895,0.18336328775860603,missing,-2.1269699453944244,-0.9342560391327984,-3.72677951467744,missing,-0.26359348825780293,-2.4379429565749975,-0.15681454286063445,missing,-0.41235904315089117,-1.0579517857552747,-0.24983786681544004
12.0,1879.8616054089284,0.18330568446402948,missing,-2.1268700287407842,-0.9343559634251369,-3.726879505160713,missing,-0.2634935552677461,-2.4378430144304564,-0.15691447230978442,missing,-0.4122593273146164,-1.0580516883561033,-0.24973794402484628
13.0,1879.2651593080484,0.18324809879157178,missing,-2.1267701276441584,-0.9344558736129654,-3.7269794937908864,missing,-0.26339363475993144,-2.4377430830829367,-0.15701438858375938,missing,-0.41215966481830485,-1.0581515727987818,-0.24963803572597862
14.0,1878.6689177727633,0.1831905306313147,missing,-2.1266702433087272,-0.9345557686129892,-3.72707948040055,missing,-0.2632937276936483,-2.4376431633677567,-0.1571142906590508,missing,-0.4120600598677492,-1.0582514376813403,-0.24953814306422747
15.0,1878.0728809074003,0.1831329794967316,missing,-2.1265703769044153,-0.9346556473748534,-3.7271794648224943,missing,-0.2631938349993457,-2.437543256096126,-0.15721417754047926,missing,-0.41196051656325133,-1.0583512816422374,-0.24943826715672449
16.0,1877.4770497151214,0.18307544506485285,missing,-2.12647052956395,-0.93475550888341,-3.727279446889524,missing,-0.2630939575768064,-2.437443362053608,-0.15731404826284678,missing,-0.4118610388900066,-1.0584511033626718,-0.2493384090901969
17.0,1876.8814259873438,0.18301792735016295,missing,-2.1263707023805,-0.9348553521605257,-3.7273794264345206,missing,-0.2629940962936719,-2.4373434819988526,-0.15741390189236593,missing,-0.4117616307104094,-1.0585509015685546,-0.24923856991908697
18.0,1876.2860114769294,0.18296042669234874,missing,-2.1262708964063584,-0.9349551762661881,-3.7274794032909315,missing,-0.26289425198448085,-2.4372436166627125,-0.15751373752778977,missing,-0.4116622957596128,-1.058650675032016,-0.24913875066408947
19.0,1875.6908075743586,0.18290294348995392,missing,-2.126171112652739,-0.9350549802988867,-3.72757937729373,missing,-0.2627944254502345,-2.437143766747758,-0.15761355430123963,missing,-0.41156303764468555,-1.05875042257244,-0.2490389523111357
20.0,1875.0958152950766,0.18284547790533837,missing,-2.126071352089929,-0.9351547633957056,-3.727679348280472,missing,-0.2626946174582003,-2.4370439329279914,-0.15771335137883388,missing,-0.4114638598451016,-1.0588501430572022,-0.24893917581062944
21.0,1874.5010358030472,0.18278802981978573,missing,-2.1259716156469426,-0.9352545247325758,-3.7277793160920236,missing,-0.26259482874165047,-2.4369441158485525,-0.15781312796122196,missing,-0.4113647657119539,-1.0589498354022955,-0.24883942207671972
22.0,1873.9064708230849,0.18273059909997044,missing,-2.1258719042104954,-0.9353542635247668,-3.7278792805728163,missing,-0.2624950599994669,-2.436844316125376,-0.15791288328403794,missing,-0.41126575846520025,-1.0590494985728773,-0.24873969198656773
23.0,1873.3121221558758,0.18267318579679012,missing,-2.125772218624081,-0.9354539790271984,-3.727979241570939,missing,-0.26239531189588927,-2.4367445343449834,-0.15801261661816307,missing,-0.4111668411910324,-1.059149131583555,-0.2486399863798222
24.0,1872.7179910535972,0.18261579017055096,missing,-2.125672559687923,-0.9355536705341971,-3.7280791989383437,missing,-0.2622955850606678,-2.4366447710645955,-0.1581123272696982,missing,-0.4110680168413839,-1.0592487334982508,-0.24854030605850375
25.0,1872.1240784489755,0.18255841262934955,missing,-2.125572928159952,-0.9356533373786696,-3.7281791525312884,missing,-0.26219588008964795,-2.4365450268125652,-0.15821201457965636,missing,-0.4109692882361737,-1.0593483034296498,-0.2484406517873123
26.0,1871.5303854116912,0.1825010535285003,missing,-2.1254733247573725,-0.9357529789309641,-3.728279102211008,missing,-0.2620961975456089,-2.436445302089005,-0.15831167792348333,missing,-0.41087065806756495,-1.0594478405383925,-0.24834102429419835
27.0,1870.9369130944308,0.1824437129650079,missing,-2.1253737501579617,-0.9358525945978511,-3.728379047844348,missing,-0.26199653795905925,-2.4363455973663974,-0.15841131671053782,missing,-0.4107721289041144,-1.0595473440322185,-0.2482414242709547
28.0,1870.3436625365528,0.18238639079435542,missing,-2.1252742050005615,-0.9359521838218551,-3.7284789893040444,missing,-0.2618969018288276,-2.436245913090086,-0.15851093038357583,missing,-0.4106737031929905,-1.0596468131651542,-0.24814185237370584
29.0,1869.7506345580082,0.18232908685257973,missing,-2.1251746898850623,-0.9360517460807427,-3.728578926468581,missing,-0.26179728962257454,-2.436146249678739,-0.15861051841815615,missing,-0.4105753832604994,-1.0597462472366266,-0.24804230922341272
30.0,1869.1578297233098,0.1822718011352018,missing,-2.12507520537273,-0.9361512808867535,-3.728678859221838,missing,-0.26169770177751084,-2.4360466075249856,-0.15871008032183995,missing,-0.41047717131286704,-1.0598456455903063,-0.24794279540663455
31.0,1868.5652485429475,0.18221453384142208,missing,-2.1249757519873884,-0.9362507877853878,-3.728778787452793,missing,-0.261598138701445,-2.4359469869963033,-0.15880961563315954,missing,-0.41037906943883645,-1.0599450076126191,-0.24784331147664734
32.0,1867.9728916560957,0.1821572852668715,missing,-2.124876330217303,-0.9363502663539005,-3.728878711055446,missing,-0.2614986007740495,-2.4358473884360614,-0.1589091239204538,missing,-0.4102810796143502,-1.060044332731053,-0.24774385795481207
33.0,1867.3807596458958,0.18210005559672002,missing,-2.124776940517189,-0.936449716199809,-3.7289786299289447,missing,-0.2613990883481182,-2.4357478121645544,-0.15900860478070405,missing,-0.4101832037082967,-1.0601436204124521,-0.24764443533198346
34.0,1866.7888528700053,0.18204284480926317,missing,-2.124677583309724,-0.9365491369596615,-3.729078543977648,missing,-0.26129960175063555,-2.4356482584799077,-0.15910805783843934,missing,-0.41008544348753756,-1.0602428701614206,-0.24754504406979858
35.0,1866.1971715903583,0.18198565277871664,missing,-2.1245782589864723,-0.9366485282980361,-3.7291784531109013,missing,-0.26120014128367897,-2.43554872765888,-0.15920748274467156,missing,-0.4099878006202978,-1.0603420815187983,-0.24744568460185343
36.0,1865.6057160922617,0.18192847942575613,missing,-2.124478967908677,-0.9367478899065393,-3.7292783572425265,missing,-0.26110070722533146,-2.435449219957683,-0.15930687917576994,missing,-0.40989027667858274,-1.0604412540600827,-0.24734635733490537
37.0,1865.0144866593928,0.1818713247644659,missing,-2.1243797104083693,-0.9368472215026417,-3.729378256290235,missing,-0.2610012998307312,-2.435349735612897,-0.1594062468322436,missing,-0.4097928731408842,-1.060540387393737,-0.24724706265019125
38.0,1864.4234835327734,0.18181418885794415,missing,-2.124280486789824,-0.9369465228284284,-3.7294781501751384,missing,-0.26090191933321116,-2.435250274842436,-0.1595055854374968,missing,-0.4096955913957253,-1.0606394811594608,-0.247147800904803
39.0,1863.8327068617214,0.18175707173094954,missing,-2.1241812973310683,-0.9370457936494287,-3.729578038821456,missing,-0.2608025659453972,-2.435150837846461,-0.15960489473664916,missing,-0.409598432745839,-1.0607385350265497,-0.24704857243299597
40.0,1863.242156711678,0.18169997333149368,missing,-2.1240821422851424,-0.9371450337536066,-3.729677922156347,missing,-0.2607032398601733,-2.4350514248081825,-0.1597041744954641,missing,-0.4095013984123185,-1.060837548692406,-0.24694937754734952
41.0,1862.6518331630273,0.18164289358391963,missing,-2.1239830218810645,-0.9372442429504517,-3.729777800109764,missing,-0.260603941251531,-2.4349520358945886,-0.15980342449935594,missing,-0.4094044895383073,-1.0609365218811737,-0.24685021653980097
