problem_name,mechanistic_setting,dataset,sampling_strategy,par_row,array_nr,epochs_adam,epochs_bfgs,lr_adam,stepnorm_bfgs,λ_reg,act_fct,hidden_layers,hidden_neurons,tolerance,MSE,nMSE,runtime,loss,negLL
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,412,500,1000,0.01,0.001,0.001,rbf,2,4,1E-12,0.000422913461736,0.000938150782134,8.9216,-784.719092506371,-784.723166344593
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,402,500,1000,0.0001,1E-05,1,rbf,2,4,1E-12,0.000796264540123,0.001256424699499,9.59688333333333,-709.26473899819,-710.773964929293
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,413,500,1000,0.1,0.01,100,rbf,2,4,1E-12,0.020006449749493,0.051732840486973,9.20448333333333,-366.217531035766,-370.332938062052
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,405,500,1000,0.001,0.0001,100,rbf,2,4,1E-12,0.023551718269838,0.075768526273897,9.75496666666667,-367.122278980826,-374.938431682069
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,415,500,1000,0.1,0.01,0.01,rbf,2,4,1E-12,0.000378343716879,0.000926700142642,9.44198333333333,-787.896226874212,-787.929072380282
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,404,500,1000,0.0001,1E-05,0.001,rbf,2,4,1E-12,0.001110342377207,0.002470725007576,10.0487666666667,-703.306389516946,-703.307533547554
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,414,500,1000,0.1,0.01,1,rbf,2,4,1E-12,0.000365181104108,0.000851548475205,9.66888333333333,-789.362253282584,-791.742687947666
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,334,500,1000,0.1,0.01,1,tanh,3,4,1E-12,0.000345372732237,0.000679817308737,16.82735,-786.179421198461,-789.052392922712
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,434,500,1000,0.0001,1E-05,1,rbf,1,8,1E-12,0.003604236594343,0.009277682777979,8.44005,-649.599940538073,-650.069042825276
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,441,500,1000,0.01,0.001,100,rbf,1,8,1E-12,0.000381174767474,0.0008539857069,8.22461666666667,-701.987854985096,-759.964921483392
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,445,500,1000,0.1,0.01,100,rbf,1,8,1E-12,0.000335251209238,0.000814340637641,8.34273333333333,-713.607052151596,-773.856424090548
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,440,500,1000,0.001,0.0001,0.001,rbf,1,8,1E-12,0.133504246694643,0.233586373411031,8.82151666666667,-189.037506712495,-189.038717907038
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,442,500,1000,0.01,0.001,1,rbf,1,8,1E-12,0.000390885469192,0.001038262762707,8.84971666666667,-771.809191666025,-772.959601730398
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,444,500,1000,0.01,0.001,0.001,rbf,1,8,1E-12,0.000380471623194,0.000955482553994,9.09761666666667,-786.343417528949,-786.344688600751
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,443,500,1000,0.01,0.001,0.01,rbf,1,8,1E-12,0.00040405885992,0.001081317491132,9.1395,-781.167051637035,-781.18661319843
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,429,500,1000,0.1,0.01,100,rbf,3,4,1E-12,0.020439552137357,0.053873495793447,10.8354333333333,-356.6665968078,-363.368299860109
